1,DOLNOŚLĄSKIE,56705,76008,74248,45632,252593
2,KUJAWSKO-POMORSKIE,36543,45179,43394,27843,152959
3,LUBELSKIE,34273,42193,42583,25353,144402
4,LUBUSKIE,20267,25428,26015,16354,88064
5,ŁÓDZKIE,41456,52051,49440,31240,174187
6,MAŁOPOLSKIE,63108,86661,86233,46209,282211
7,MAZOWIECKIE,100379,129877,124871,85060,440187
8,OPOLSKIE,17597,23493,24441,13434,78965
9,PODKARPACKIE,34470,46859,49977,25876,157182
10,PODLASKIE,18883,24729,27334,14586,85532
11,POMORSKIE,46234,58142,58339,35990,198705
12,ŚLĄSKIE,79694,109120,103965,61735,354514
13,ŚWIĘTOKRZYSKIE,19428,24720,24563,14488,83199
14,WARMIŃSKO-MAZURSKIE,24482,31096,32184,18782,106544
15,WIELKOPOLSKIE,64294,82142,75695,50132,272263
16,ZACHODNIOPOMORSKIE,34050,34050,43454,27240,138794
