l.p,WOJEWÓDZTWO,I KWARTAŁ,II KWARTAŁ,III KWARTAŁ,IV KWARTAŁ,ROK
1,DOLNOŚLĄSKIE,51054,34053,60395,34941,180443
2,KUJAWSKO-POMORSKIE,31582,20897,35688,22668,110835
3,LUBELSKIE,28268,19268,34094,20303,101933
4,LUBUSKIE,17316,12024,20333,11760,61433
5,ŁÓDZKIE,34555,24243,40580,26538,125916
6,MAŁOPOLSKIE,53407,35106,65662,36558,190733
7,MAZOWIECKIE,89747,60338,99597,67577,317259
8,OPOLSKIE,15248,9957,20554,9896,55655
9,PODKARPACKIE,30267,20550,38007,21320,110144
10,PODLASKIE,16181,10659,19988,11724,58552
11,POMORSKIE,39980,26252,45889,29197,141318
12,ŚLĄSKIE,69698,46816,84457,50204,251175
13,ŚWIĘTOKRZYSKIE,16404,10750,20290,12053,59497
14,WARMIŃSKO-MAZURSKIE,21250,14660,25559,14845,76314
15,WIELKOPOLSKIE,55865,35788,59354,38301,189308
16,ZACHODNIOPOMORSKIE,30400,18829,33706,20588,103523
